epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1625071229101,2021-06-30T18:40:29.101,0.000,0.001,-0.013,1.010
1625071229101,2021-06-30T18:40:29.101,0.000,-0.000,-0.013,1.006
1625071229103,2021-06-30T18:40:29.103,0.002,0.002,-0.023,1.011
1625071229104,2021-06-30T18:40:29.104,0.003,-0.003,-0.019,0.999
1625071229106,2021-06-30T18:40:29.106,0.005,-0.006,-0.013,1.009
1625071229107,2021-06-30T18:40:29.107,0.006,-0.004,-0.013,1.000
1625071229109,2021-06-30T18:40:29.109,0.008,0.000,-0.010,1.000
1625071229110,2021-06-30T18:40:29.110,0.009,-0.003,-0.021,1.009
1625071229110,2021-06-30T18:40:29.110,0.009,-0.005,-0.020,1.005
1625071229112,2021-06-30T18:40:29.112,0.011,-0.005,-0.022,1.011
1625071229115,2021-06-30T18:40:29.115,0.014,-0.002,-0.015,1.008
1625071229115,2021-06-30T18:40:29.115,0.014,-0.003,-0.022,1.009
1625071229116,2021-06-30T18:40:29.116,0.015,-0.000,-0.016,1.005
1625071229118,2021-06-30T18:40:29.118,0.017,-0.004,-0.021,1.001
1625071229119,2021-06-30T18:40:29.119,0.018,-0.003,-0.016,1.005
1625071229119,2021-06-30T18:40:29.119,0.018,-0.007,-0.016,0.999
1625071229121,2021-06-30T18:40:29.121,0.020,-0.002,-0.021,1.003
1625071229122,2021-06-30T18:40:29.122,0.021,0.007,-0.019,0.999
1625071229123,2021-06-30T18:40:29.123,0.022,-0.004,-0.016,1.000
1625071229125,2021-06-30T18:40:29.125,0.024,0.001,-0.014,1.007
1625071229126,2021-06-30T18:40:29.126,0.025,0.001,-0.014,1.004
1625071229128,2021-06-30T18:40:29.128,0.027,-0.001,-0.020,1.004
1625071229128,2021-06-30T18:40:29.128,0.027,-0.004,-0.022,1.005
1625071229129,2021-06-30T18:40:29.129,0.028,-0.003,-0.017,1.002
1625071229131,2021-06-30T18:40:29.131,0.030,-0.004,-0.018,1.002
1625071229132,2021-06-30T18:40:29.132,0.031,-0.003,-0.014,1.008
1625071229134,2021-06-30T18:40:29.134,0.033,-0.001,-0.015,1.006
1625071229135,2021-06-30T18:40:29.135,0.034,-0.003,-0.023,1.009
1625071229137,2021-06-30T18:40:29.137,0.036,0.001,-0.018,1.013
1625071229137,2021-06-30T18:40:29.137,0.036,0.001,-0.018,1.000
1625071229138,2021-06-30T18:40:29.138,0.037,0.000,-0.015,1.006
1625071229140,2021-06-30T18:40:29.140,0.039,-0.003,-0.018,1.000
1625071229141,2021-06-30T18:40:29.141,0.040,0.000,-0.024,1.005
1625071229143,2021-06-30T18:40:29.143,0.042,-0.007,-0.017,1.005
1625071229143,2021-06-30T18:40:29.143,0.042,0.001,-0.022,1.010
1625071229144,2021-06-30T18:40:29.144,0.043,-0.000,-0.021,1.009
1625071229145,2021-06-30T18:40:29.145,0.044,0.001,-0.027,1.008
1625071229147,2021-06-30T18:40:29.147,0.046,-0.004,-0.019,0.998
1625071229148,2021-06-30T18:40:29.148,0.047,-0.000,-0.017,1.008
1625071229150,2021-06-30T18:40:29.150,0.049,0.000,-0.018,1.000
1625071229151,2021-06-30T18:40:29.151,0.050,0.004,-0.020,1.006
1625071229151,2021-06-30T18:40:29.151,0.050,0.001,-0.018,1.013
1625071229153,2021-06-30T18:40:29.153,0.052,-0.004,-0.020,1.008
1625071229154,2021-06-30T18:40:29.154,0.053,0.001,-0.019,1.006
1625071229156,2021-06-30T18:40:29.156,0.055,-0.001,-0.018,0.999
1625071229157,2021-06-30T18:40:29.157,0.056,-0.003,-0.018,0.999
1625071229159,2021-06-30T18:40:29.159,0.058,0.001,-0.015,1.000
1625071229159,2021-06-30T18:40:29.159,0.058,-0.001,-0.022,1.008
1625071229160,2021-06-30T18:40:29.160,0.059,-0.001,-0.020,1.006
1625071229162,2021-06-30T18:40:29.162,0.061,0.000,-0.011,1.003
1625071229163,2021-06-30T18:40:29.163,0.062,-0.004,-0.010,1.006
1625071229164,2021-06-30T18:40:29.164,0.063,-0.005,-0.015,1.007
1625071229166,2021-06-30T18:40:29.166,0.065,0.005,-0.021,0.998
