epoch (ms),time (01:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1625071229046,2021-06-30T18:40:29.046,0.000,0.183,-0.366,-0.122
1625071229047,2021-06-30T18:40:29.047,0.001,0.366,-0.122,0.183
1625071229049,2021-06-30T18:40:29.049,0.003,0.061,-0.366,0.488
1625071229050,2021-06-30T18:40:29.050,0.004,0.122,-0.122,0.305
1625071229052,2021-06-30T18:40:29.052,0.006,0.244,-0.305,0.061
1625071229053,2021-06-30T18:40:29.053,0.007,0.244,-0.427,-0.061
1625071229053,2021-06-30T18:40:29.053,0.007,0.305,-0.244,0.061
1625071229055,2021-06-30T18:40:29.055,0.009,0.305,-0.122,0.183
1625071229056,2021-06-30T18:40:29.056,0.010,0.366,-0.183,0.305
1625071229058,2021-06-30T18:40:29.058,0.012,0.244,-0.427,0.244
1625071229059,2021-06-30T18:40:29.059,0.013,0.061,-0.122,0.061
1625071229060,2021-06-30T18:40:29.060,0.014,0.366,-0.305,0.183
1625071229060,2021-06-30T18:40:29.060,0.014,0.427,-0.305,0.244
1625071229062,2021-06-30T18:40:29.062,0.016,0.488,-0.244,0.244
1625071229063,2021-06-30T18:40:29.063,0.017,0.244,-0.305,0.183
1625071229065,2021-06-30T18:40:29.065,0.019,0.366,-0.183,0.061
1625071229066,2021-06-30T18:40:29.066,0.020,0.366,-0.305,0.183
1625071229068,2021-06-30T18:40:29.068,0.022,0.305,-0.122,0.122
1625071229069,2021-06-30T18:40:29.069,0.023,0.488,-0.305,0.183
1625071229069,2021-06-30T18:40:29.069,0.023,0.305,-0.305,0.305
1625071229071,2021-06-30T18:40:29.071,0.025,0.305,-0.122,0.183
1625071229072,2021-06-30T18:40:29.072,0.026,0.427,-0.305,0.183
1625071229074,2021-06-30T18:40:29.074,0.028,0.183,-0.183,0.305
1625071229075,2021-06-30T18:40:29.075,0.029,0.366,-0.305,0.305
1625071229077,2021-06-30T18:40:29.077,0.031,0.122,-0.488,0.366
1625071229078,2021-06-30T18:40:29.078,0.032,0.122,0.122,0.183
1625071229078,2021-06-30T18:40:29.078,0.032,0.244,0.061,0.061
1625071229080,2021-06-30T18:40:29.080,0.034,0.366,-0.244,0.305
1625071229081,2021-06-30T18:40:29.081,0.035,0.244,-0.122,0.061
1625071229082,2021-06-30T18:40:29.082,0.036,0.305,-0.427,0.244
1625071229084,2021-06-30T18:40:29.084,0.038,0.305,-0.122,0.183
1625071229085,2021-06-30T18:40:29.085,0.039,0.549,-0.244,0.305
1625071229085,2021-06-30T18:40:29.085,0.039,0.244,-0.122,0.488
1625071229087,2021-06-30T18:40:29.087,0.041,0.183,-0.183,0.183
1625071229088,2021-06-30T18:40:29.088,0.042,0.183,-0.244,0.061
1625071229090,2021-06-30T18:40:29.090,0.044,0.427,-0.061,0.061
1625071229091,2021-06-30T18:40:29.091,0.045,0.183,-0.183,0.366
1625071229093,2021-06-30T18:40:29.093,0.047,0.183,-0.244,0.244
1625071229094,2021-06-30T18:40:29.094,0.048,0.366,-0.488,0.122
1625071229094,2021-06-30T18:40:29.094,0.048,0.610,-0.549,0.122
1625071229096,2021-06-30T18:40:29.096,0.050,0.305,-0.427,0.183
1625071229097,2021-06-30T18:40:29.097,0.051,0.244,-0.488,0.183
1625071229099,2021-06-30T18:40:29.099,0.053,0.671,-0.671,0.366
1625071229100,2021-06-30T18:40:29.100,0.054,0.366,-0.244,0.183
1625071229101,2021-06-30T18:40:29.101,0.055,0.610,-0.183,0.183
1625071229103,2021-06-30T18:40:29.103,0.057,0.305,-0.305,0.305
1625071229103,2021-06-30T18:40:29.103,0.057,0.305,-0.183,0.183
1625071229104,2021-06-30T18:40:29.104,0.058,0.427,-0.305,0.305
1625071229106,2021-06-30T18:40:29.106,0.060,0.061,-0.488,0.427
1625071229107,2021-06-30T18:40:29.107,0.061,0.061,-0.305,0.183
1625071229109,2021-06-30T18:40:29.109,0.063,0.427,-0.427,0.244
1625071229110,2021-06-30T18:40:29.110,0.064,0.366,-0.366,0.061
1625071229110,2021-06-30T18:40:29.110,0.064,0.000,-0.305,0.183
1625071229112,2021-06-30T18:40:29.112,0.066,0.183,-0.305,0.122
1625071229115,2021-06-30T18:40:29.115,0.069,0.366,-0.244,0.183
1625071229115,2021-06-30T18:40:29.115,0.069,0.244,-0.183,0.244
1625071229116,2021-06-30T18:40:29.116,0.070,0.122,-0.427,0.061
1625071229118,2021-06-30T18:40:29.118,0.072,0.183,-0.488,0.183
1625071229119,2021-06-30T18:40:29.119,0.073,0.244,-0.488,0.427
1625071229119,2021-06-30T18:40:29.119,0.073,0.366,-0.305,0.061
1625071229121,2021-06-30T18:40:29.121,0.075,0.244,-0.427,-0.122
1625071229122,2021-06-30T18:40:29.122,0.076,0.427,-0.244,0.305
1625071229123,2021-06-30T18:40:29.123,0.077,0.427,-0.244,0.305
1625071229125,2021-06-30T18:40:29.125,0.079,0.183,-0.183,0.061
1625071229126,2021-06-30T18:40:29.126,0.080,0.244,-0.305,0.061
1625071229128,2021-06-30T18:40:29.128,0.082,0.427,-0.488,-0.061
1625071229128,2021-06-30T18:40:29.128,0.082,0.610,-0.183,0.122
1625071229129,2021-06-30T18:40:29.129,0.083,0.427,-0.183,0.366
1625071229131,2021-06-30T18:40:29.131,0.085,0.244,-0.122,0.244
1625071229132,2021-06-30T18:40:29.132,0.086,0.366,-0.427,0.061
1625071229134,2021-06-30T18:40:29.134,0.088,0.122,-0.488,0.305
1625071229135,2021-06-30T18:40:29.135,0.089,0.244,-0.244,0.244
1625071229137,2021-06-30T18:40:29.137,0.091,0.305,-0.061,0.305
1625071229137,2021-06-30T18:40:29.137,0.091,0.366,-0.061,0.427
1625071229138,2021-06-30T18:40:29.138,0.092,0.366,-0.183,0.183
1625071229140,2021-06-30T18:40:29.140,0.094,0.427,-0.366,0.122
1625071229141,2021-06-30T18:40:29.141,0.095,0.488,-0.244,0.122
1625071229143,2021-06-30T18:40:29.143,0.097,0.427,-0.122,0.427
1625071229143,2021-06-30T18:40:29.143,0.097,0.427,-0.244,0.488
1625071229144,2021-06-30T18:40:29.144,0.098,-0.061,-0.183,0.244
1625071229145,2021-06-30T18:40:29.145,0.099,0.244,-0.061,0.366
1625071229147,2021-06-30T18:40:29.147,0.101,0.244,-0.305,0.305
1625071229148,2021-06-30T18:40:29.148,0.102,0.061,-0.366,0.305
